,dateAdded,dateUpdated,name,brand,primaryCategories,colors,prices.amountMax,prices.amountMin,prices.availability,prices.color,prices.offer,prices.size
33,2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,Mark and Maddux Pointed Toe Women s Loa,Mark and Maddux,Shoes,Black,25,25,FALSE,Black,Online only,9
34,2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,Fila Women s Forward 2 White / Atomic B,Fila,Shoes,White / Atomic Blue / Safety Y,67.9,67.9,FALSE,White / Atomic Blue / Safety Y,Online only,8M
35,2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,Steve Madden Women s Leigh Suede Black,Steve Madden,Shoes,Black,21.99,21.99,TRUE,Black,Online only: 72% off,8M
36,2019-05-01T05:14:42Z,2019-05-01T05:14:42Z,Madden Girl Womens Barbiee Pointed Toe,Madden Girl,Shoes,Black Paris,46.92,46.92,TRUE,Black Paris,Online only: 32% off,5
37,2019-05-01T05:14:42Z,2019-05-01T05:14:42Z,Brinley Co. Women s Faux Suede Open Toe,Brinley Co.,Shoes,Wine,42.99,42.99,TRUE,Wine,Online only: 43% off,9
38,2019-05-01T05:14:41Z,2019-05-01T05:14:41Z,Madden Girl Womens Barbiee Pointed Toe,Madden Girl,Shoes,Black Paris,32.31,32.31,TRUE,Black Paris,Online only: 53% off,5.5
39,2019-05-01T05:07:07Z,2019-05-01T05:14:39Z,PYPE Women Contrast Sole Breathable Mes,Unique Bargains,Shoes,Black,39.87,39.87,TRUE,Black,Online only: 50% off,9.5
40,2019-05-01T05:14:37Z,2019-05-01T05:14:37Z,Womens Comfort Side Strap Riding Boot,Brinley Co.,Shoes,Taupe,54.99,54.99,TRUE,Taupe,Was 99.99,9
41,2019-05-01T05:14:36Z,2019-05-01T05:14:36Z,Noble Outfitters Western Boots Womens A,Noble Outfitters,Shoes,Charcoal,124.95,124.95,TRUE,Charcoal,Online only,7.5 R
42,2019-05-01T05:14:35Z,2019-05-01T05:14:35Z,Noble Outfitters Western Boots Womens A,Noble Outfitters,Shoes,Charcoal,124.95,124.95,FALSE,Charcoal,Online only,8 R
43,2019-05-01T05:14:33Z,2019-05-01T05:14:33Z,Seven Dials Womens SYNC,Seven Dials,Shoes,GOLD/METALLIC/SMOOTH,63.99,63.99,TRUE,GOLD/METALLIC/SMOOTH,Online only,10
44,2019-05-01T05:14:33Z,2019-05-01T05:14:33Z,Seven Dials Womens Sync Split Toe Casua,Seven Dials,Shoes,Luggage,16.53,16.53,FALSE,Luggage,Online only: 66% off,5
45,2019-05-01T05:14:31Z,2019-05-01T05:14:31Z,City Classified Women s Faux Leather Mi,City Classified,Shoes,Black,41.99,41.99,FALSE,Black,Online only,8.5 BM US
46,2019-05-01T05:14:31Z,2019-05-01T05:14:31Z,City Classified Women s Faux Leather Mi,City Classified,Shoes,Tan,41.99,41.99,TRUE,Tan,Online only,5.5 BM US
47,2019-05-01T05:14:20Z,2019-05-01T05:14:20Z,women s aerosoles traveler slip-on,Aerosoles,Shoes,White,63.19,63.19,TRUE,White,Online only: 20% off,US 10.5W
48,2019-05-01T05:00:50Z,2019-05-01T05:14:17Z,Women s Crevo Britain Bootie,CREVO,Shoes,Brown Nubuck,84.95,84.95,TRUE,Brown Nubuck,Online only,6.5
49,2019-05-01T05:14:08Z,2019-05-01T05:14:08Z,"Mantis by Soda, Women Vintage Western A",Soda,Shoes,Black,33.99,33.99,TRUE,Black,Online only,US 7.5
50,2019-05-01T05:14:07Z,2019-05-01T05:14:07Z,New Balance Women s Wvngo By Ankle-High,New Balance,Shoes,By,67.99,67.99,FALSE,By,Online only,9M
51,2019-05-01T05:14:00Z,2019-05-01T05:14:00Z,"1-Ayden by City Classified, Comfy Foam",City Classified,Shoes,Natural Beige,27.99,27.99,TRUE,Natural Beige,Online only,US 8
52,2019-05-01T05:13:54Z,2019-05-01T05:13:54Z,Michael Kors Natasha Slide Women s Slip,Michael Kors,Shoes,Ecru,39.99,39.99,FALSE,Ecru,Online only: 64% off,6 M
53,2019-05-01T05:13:48Z,2019-05-01T05:13:48Z,Women s Diba True In Between Open Toe B,Diba,Shoes,Natural Leather,116.45,116.45,TRUE,Natural Leather,Online only: 22% off,9
54,2019-05-01T05:13:42Z,2019-05-01T05:13:42Z,5 Inch Women s Sexy Knee High Boots Hig,SummitFashions,Shoes,Red,78.89,78.89,TRUE,Red,Online only: 21% off,13
55,2019-05-01T05:13:38Z,2019-05-01T05:13:38Z,"Second by Soda, Lug Sole Combat Bootie",Soda,Shoes,Dark Wine Red,38,38,TRUE,Dark Wine Red,Online only,US 6.5
56,2019-05-01T05:05:31Z,2019-05-01T05:13:36Z,Women s Aerosoles Times Square Tassel L,Aerosoles,Shoes,Black Suede/Crackle Lizard Pri,47,47,FALSE,Black Suede/Crackle Lizard Pri,Online only,8.5
57,2019-05-01T05:13:28Z,2019-05-01T05:13:28Z,Softwalk Womens Hampshire Black Snake F,Softwalk,Shoes,Brown Printed Python,55.76,55.76,FALSE,Brown Printed Python,Online only,9
58,2019-05-01T05:12:31Z,2019-05-01T05:12:31Z,women s trotters bowen tall waterproof,Trotters,Shoes,Black Rubberized PU/Ballistic,89.95,89.95,FALSE,Black Rubberized PU/Ballistic,Online only,12
59,2019-05-01T05:12:07Z,2019-05-01T05:12:07Z,Women s Easy Street Origin Clog,Easy Street,Shoes,Brown Tool Polyurethane/Gore,71.12,71.12,TRUE,Brown Tool Polyurethane/Gore,Online only,9.5 N
60,2019-05-01T05:11:53Z,2019-05-01T05:11:53Z,Breckelles Heather-32 New Women PU Cris,Breckelles,Shoes,Brown,38.89,38.89,TRUE,Brown,Online only,7.5
61,2019-05-01T05:11:52Z,2019-05-01T05:11:52Z,Breckelles Rita-62 New Women PU Open To,Breckelles,Shoes,Tan,39.99,39.99,FALSE,Tan,Online only,8
62,2019-05-01T05:11:38Z,2019-05-01T05:11:38Z,women s trotters shannon ankle boot,Trotters,Shoes,Black Lux Soft Leather,86.28,86.28,TRUE,Black Lux Soft Leather,Online only,9.5
63,2019-05-01T05:06:03Z,2019-05-01T05:11:19Z,*5 Pump W/ Contrast Piping Bow - Black/,SALE,Shoes,Black/White Patent,36.29,36.29,FALSE,Black/White Patent,Online only,12
64,2019-05-01T05:11:17Z,2019-05-01T05:11:17Z,Steve Madden Women s Madelena Suede Bla,Steve Madden,Shoes,Black,18.95,18.95,FALSE,Black,Online only: 79% off,6M
65,2019-05-01T05:10:39Z,2019-05-01T05:10:39Z,Callisto Women s Advisor Camel Pump - 1,Callisto,Shoes,Black,22.99,22.99,TRUE,Black,Online only: 79% off,7.5M
66,2019-05-01T05:10:34Z,2019-05-01T05:10:34Z,Callisto Women s Advisor Camel Pump - 1,Callisto,Shoes,Camel,46.34,46.34,TRUE,Camel,Online only: 37% off,8
67,2019-05-01T05:09:31Z,2019-05-01T05:09:31Z,women s aerosoles traveler slip-on,Aerosoles,Shoes,White,90.03,90.03,TRUE,White,Online only,7
68,2019-05-01T05:09:28Z,2019-05-01T05:09:28Z,Breckelles AD94 Women Leatherette Desig,Breckelles,Shoes,Black,37.98,37.98,TRUE,Black,Online only,6
69,2019-05-01T05:09:24Z,2019-05-01T05:09:24Z,Wave Daichi 2 Womens - Mizuno,Mizuno,Shoes,BLACK-PINK 9013,45,45,TRUE,BLACK-PINK 9013,Online only: 65% off,6.5 B US
70,2019-05-01T05:09:23Z,2019-05-01T05:09:23Z,Western Chief Women s Plush Slip On Sli,Western Chief,Shoes,Florence Navy,16.62,16.62,FALSE,Florence Navy,Online only: 12% off,8
71,2019-05-01T05:09:16Z,2019-05-01T05:09:16Z,Women Contrast Color PU Panel Mesh Trai,Unique Bargains,Shoes,Blue,34.29,34.29,TRUE,Blue,Online only: 52% off,8.5
