YEAR_MONTH,LOCATION,DA_LEGAL_REVIEW,YR,MN,Latitude,Longitude
2006-07,"ESTHER LANE, CHARLOTTE ",Legally Justified,2006,7,35.26688927,-80.92160063
2006-11,"DALECREST , CHARLOTTE 28269",Legally Justified,2006,11,35.28018368,-80.81630963
2007-04,"E INDEPENDENCE BOULEVARD, CHARLOTTE 28205",Legally Justified,2007,4,35.19655042,-80.76807381
2007-10,"FLORENCE AVENUE, CHARLOTTE  28212",Legally Justified,2007,10,35.18311887,-80.7647899
2008-02,"LANGSTON MILL ROAD, CHARLOTTE ",Legally Justified,2008,2,35.32594147,-80.8614263
2008-04,"STATESVILLE ROAD, CHARLOTTE 28269",Legally Justified,2008,4,35.28888323,-80.8365905
2008-05,"CENTRAL AVENUE, CHARLOTTE  28205",Legally Justified,2008,5,35.22005258,-80.80802326
2008-05,"SYLVANIA AVENUE, CHARLOTTE 28206",Legally Justified,2008,5,35.24248825,-80.82959488
2008-08,"DEANNA LANE, CHARLOTTE  ",Legally Justified,2008,8,35.14030372,-80.89416392
2018-01,"E TRADE STREET, CHARLOTTE 28202",Legally Justified,2018,1,35.222887,-80.83692
2018-12,"WINFIELD DRIVE, CHARLOTTE 28205",Legally Justified,2018,12,35.202102,-80.774458
2019-08,"ERNEST RUSSELL COURT, CHARLOTTE 28269",Pending Review,2019,8,35.355866,-80.768967
2017-09,"PROSPECT DRIVE, CHARLOTTE 28213",Legally Justified,2017,9,35.279472,-80.787744
2018-05,"IDLEBROOK DRIVE, CHARLOTTE 28212",Legally Justified,2018,5,35.191562,-80.734968
2019-01,"WEST BOULEVARD, CHARLOTTE 28208",Legally Justified,2019,1,35.216509,-80.882177
2016-01,"SHARVIEW COURT, CHARLOTTE 28217",No DA review,2016,1,35.16094357,-80.89638705
2017-09,"HOLLY STREET, CHARLOTTE 28216",Legally Justified,2017,9,35.2673453,-80.8484074
2017-12,"N WENDOVER ROAD, CHARLOTTE 28205",Legally Justified,2017,12,35.1967479,-80.7911352
2018-02,"TIMBERBROOK DRIVE, CHARLOTTE 28208",Legally Justified,2018,2,35.245948,-80.91034
2015-12,"NORTHLAKE MALL DRIVE, CHARLOTTE 28269",Legally Justified,2015,12,35.3499809,-80.8527021
2019-03,"BEATTIES FORD ROAD, CHARLOTTE 28214",Pending Review,2019,3,35.269833,-80.854107
2017-03,"JUSTICE AVENUE, CHARLOTTE 28206",Legally Justified,2017,3,35.2604238,-80.83277888
2018-07,"WILKINSON BOULEVARD, CHARLOTTE 28208",Legally Justified,2018,7,35.234388,-80.936614
