,DATEADDED,DATEUPDATED,NAME,BRAND,PRIMARYCATEGORIES,COLORS,PRICES.AMOUNTMAX,PRICES.AMOUNTMIN,PRICES.AVAILABILITY,PRICES.COLOR,PRICES.OFFER,PRICES.SIZE
26,2019-05-01T05:20:04Z,2019-05-01T05:20:04Z,CARRINI CA COLLECTION WOMEN S FASHION F,ONLINE,SHOES,BLACK,29.99,29.99,TRUE,BLACK,ONLINE ONLY,6.5
27,2019-05-01T05:20:01Z,2019-05-01T05:20:01Z,CITY CLASSIFIED ELECT S WOMEN S PEEP TO,CITY CLASSIFIED,SHOES,BLACK,25.95,25.95,TRUE,BLACK,ONLINE ONLY,6
28,2019-05-01T05:19:41Z,2019-05-01T05:19:41Z,2 INCH HEEL TWO-TONE BUTTON SNAP SPAT S,BORDELLO,SHOES,BLACK/WHITE,72.9,72.9,TRUE,BLACK/WHITE,ONLINE ONLY: 18% OFF,11
29,2019-05-01T05:15:18Z,2019-05-01T05:15:18Z,CAPE ROBBIN WOMEN S POINTY TOE METALLIC,CAPE ROBBIN,SHOES,BLACK,38.44,38.44,FALSE,BLACK,ONLINE ONLY,10 BM US
30,2019-05-01T05:15:15Z,2019-05-01T05:15:15Z,WOMEN S AUGUST SLOUCHY WIDE CALF BOOTS,BRINLEY CO.,SHOES,CAMEL,34.99,34.99,FALSE,CAMEL,ONLINE ONLY,7.5
31,2019-05-01T05:15:02Z,2019-05-01T05:15:02Z,WOMEN S A2 BY AEROSOLES QUICK ROLE KNEE,AEROSOLES,SHOES,WHITE,157.32,157.32,FALSE,WHITE,ONLINE ONLY,6.5
32,2019-05-01T05:14:59Z,2019-05-01T05:14:59Z,WOMEN S TROTTERS CANDICE MARY JANE,TROTTERS,SHOES,DARK RED,70.67,70.67,TRUE,DARK RED,ONLINE ONLY,9.5
33,2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,MARK AND MADDUX POINTED TOE WOMEN S LOA,MARK AND MADDUX,SHOES,BLACK,25,25,FALSE,BLACK,ONLINE ONLY,9
34,2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,FILA WOMEN S FORWARD 2 WHITE / ATOMIC B,FILA,SHOES,WHITE / ATOMIC BLUE / SAFETY Y,67.9,67.9,FALSE,WHITE / ATOMIC BLUE / SAFETY Y,ONLINE ONLY,8M
35,2019-05-01T05:14:56Z,2019-05-01T05:14:56Z,STEVE MADDEN WOMEN S LEIGH SUEDE BLACK,STEVE MADDEN,SHOES,BLACK,21.99,21.99,TRUE,BLACK,ONLINE ONLY: 72% OFF,8M
