cncode,yr,deflator,weight,age,hhsize,male,married,literate,yedu,urban,labor,haccount,hloan_rec,own_house,yhtot,d_labor1,d_labor2,d_labor3,d_age1,d_age2,d_age3,d_age4,yhtot_usd
ALB,2002,0.006499957,140,51,4,1,1,1,17,1,1,,,1,720000,1,0,0,0,0,1,0,4679.96875
ALB,2002,0.006499957,140,54,4,1,1,1,8,1,2,,,1,219500,0,1,0,0,0,1,0,1426.740479
ALB,2002,0.006499957,93,43,5,1,1,1,15,0,1,,,1,149000,1,0,0,0,0,1,0,968.4935913
ALB,2002,0.006499957,241,48,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,140,52,2,1,1,1,12,1,3,,,1,234000,0,0,1,0,0,1,0,1520.989868
ALB,2002,0.006499957,158,61,1,0,0,1,14,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,241,50,3,1,1,1,8,0,1,,,1,416700,1,0,0,0,0,1,0,2708.531982
ALB,2002,0.006499957,296,35,4,1,1,1,17,1,1,,,1,421200,1,0,0,0,1,0,0,2737.781738
ALB,2002,0.006499957,189,71,5,1,0,1,12,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,275,61,3,1,1,1,12,1,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,158,56,4,1,1,1,15,1,3,,,0,432000,0,0,1,0,0,1,0,2807.981445
ALB,2002,0.006499957,189,65,8,1,1,1,10,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,275,56,4,1,1,1,17,1,1,,,1,10000,1,0,0,0,0,1,0,64.99956512
ALB,2002,0.006499957,93,78,7,0,0,0,,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,93,45,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,178,37,4,1,1,1,15,1,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,41,50,7,1,1,1,15,1,1,,,1,126100,1,0,0,0,0,1,0,819.6445313
ALB,2002,0.006499957,241,44,4,1,1,1,8,0,1,,,1,180000,1,0,0,0,0,1,0,1169.992188
ALB,2002,0.006499957,412,48,6,1,1,1,4,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,189,61,3,1,1,1,15,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,140,45,6,1,1,1,10,1,1,,,0,364000,1,0,0,0,0,1,0,2365.984375
ALB,2002,0.006499957,276,33,5,1,1,1,15,1,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,143,28,5,1,1,1,15,1,1,,,1,210000,1,0,0,0,1,0,0,1364.990967
ALB,2002,0.006499957,41,29,3,1,1,1,15,1,1,,,1,356000,1,0,0,0,1,0,0,2313.984619
ALB,2002,0.006499957,158,50,4,1,1,1,15,1,1,,,1,195000,1,0,0,0,0,1,0,1267.491577
ALB,2002,0.006499957,412,57,8,1,1,1,4,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,158,72,6,1,1,1,10,1,3,,,1,840000,0,0,1,0,0,0,1,5459.963867
ALB,2002,0.006499957,178,40,5,1,1,1,12,1,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,412,36,5,1,1,1,8,0,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,41,59,3,1,1,1,12,1,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,412,44,4,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,178,79,1,0,0,0,,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,274,41,5,1,1,1,12,1,1,,,1,480000,1,0,0,0,0,1,0,3119.979248
ALB,2002,0.006499957,41,47,5,1,1,1,8,1,2,,,1,0,0,1,0,0,0,1,0,0
ALB,2002,0.006499957,412,79,2,1,1,0,,0,1,,,1,0,1,0,0,0,0,0,1,0
ALB,2002,0.006499957,93,43,6,1,1,0,,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,170,64,2,0,0,1,8,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,275,79,7,1,1,1,10,1,3,,,1,180000,0,0,1,0,0,0,1,1169.992188
ALB,2002,0.006499957,412,30,6,0,1,1,12,0,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,93,51,3,1,1,1,12,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,296,68,2,1,1,1,10,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,241,46,6,1,1,1,8,0,1,,,1,192000,1,0,0,0,0,1,0,1247.991699
ALB,2002,0.006499957,93,50,3,1,1,1,15,0,1,,,1,280000,1,0,0,0,0,1,0,1819.987915
ALB,2002,0.006499957,412,62,3,1,0,1,4,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,140,54,4,1,1,1,17,1,1,,,1,430000,1,0,0,0,0,1,0,2794.981445
ALB,2002,0.006499957,41,68,6,0,0,1,4,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,158,55,3,0,0,1,17,1,3,,,1,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,93,37,5,1,1,1,8,0,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,296,68,3,1,1,1,15,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,241,50,5,1,1,1,10,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,140,50,4,1,1,1,15,1,1,,,1,300000,1,0,0,0,0,1,0,1949.987061
ALB,2002,0.006499957,274,69,2,1,1,1,15,1,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,412,44,5,1,1,1,8,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,158,61,4,1,1,1,12,1,1,,,1,715000,1,0,0,0,0,0,1,4647.469238
ALB,2002,0.006499957,241,87,7,0,0,0,,0,3,,,1,0,0,0,1,0,0,0,1,0
ALB,2002,0.006499957,93,47,1,1,0,0,2,0,3,,,0,0,0,0,1,0,0,1,0,0
ALB,2002,0.006499957,241,53,8,1,1,1,4,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,412,30,4,0,1,1,8,0,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,140,56,3,1,1,1,11,1,1,,,1,180000,1,0,0,0,0,1,0,1169.992188
ALB,2002,0.006499957,275,36,5,1,1,1,15,1,1,,,1,0,1,0,0,0,1,0,0,0
ALB,2002,0.006499957,93,56,4,1,1,1,4,0,1,,,1,0,1,0,0,0,0,1,0,0
ALB,2002,0.006499957,143,65,5,0,0,0,,1,3,,,1,60000,0,0,1,0,0,0,1,389.997406
